"","sessionKEY","round.dt","full_time","actor","subject","dyadID","behavior","actor.sex","actor.site","subject.sex","subject.site","new.dyad","opp.sex","n","date","undir.dyad"
"1","2021-04-05_Claire",2021-04-05 11:45:00,11:48:47,"BBP","BOB","BBP-BOB","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"2","2021-04-05_Annemarie",2021-04-05 11:45:00,11:48:47,"GPG","OOP","GPG-OOP","NN","male","Goulds","female","Goulds",FALSE,TRUE,1,2021-04-05,"GPG-OOP"
"3","2021-04-05_Annemarie",2021-04-05 11:45:00,11:48:47,"OOP","GPG","OOP-GPG","NN","female","Goulds","male","Goulds",FALSE,TRUE,1,2021-04-05,"GPG-OOP"
"4","2021-04-05_Claire",2021-04-05 11:45:00,11:49:24,"PGG","OOO","PGG-OOO","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"5","2021-04-05_Annemarie",2021-04-05 11:45:00,11:49:53,"OBG","PBO","OBG-PBO","NN","female","Florida City","female","Florida City",FALSE,FALSE,1,2021-04-05,"OBG-PBO"
"6","2021-04-05_Annemarie",2021-04-05 11:45:00,11:49:53,"PBO","OBG","PBO-OBG","NN","female","Florida City","female","Florida City",FALSE,FALSE,1,2021-04-05,"OBG-PBO"
"7","2021-04-05_Annemarie",2021-04-05 11:50:00,11:50:16,"POO","POP","POO-POP","NN","male","Galloway","female","Perrine",TRUE,TRUE,1,2021-04-05,"POO-POP"
"8","2021-04-05_Annemarie",2021-04-05 11:50:00,11:50:16,"POP","POO","POP-POO","NN","female","Perrine","male","Galloway",TRUE,TRUE,1,2021-04-05,"POO-POP"
"9","2021-04-05_Xavier",2021-04-05 11:50:00,11:50:46,"POO","PPO","POO-PPO","allop","male","Galloway","male","Perrine",TRUE,FALSE,1,2021-04-05,"POO-PPO"
"10","2021-04-05_Claire",2021-04-05 11:50:00,11:50:49,"BBP","BOB","BBP-BOB","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"11","2021-04-05_Cesar",2021-04-05 11:50:00,11:50:50,"BBP","BOB","BBP-BOB","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"12","2021-04-05_Cesar",2021-04-05 11:50:00,11:50:50,"BOB","BBP","BOB-BBP","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"13","2021-04-05_Xavier",2021-04-05 11:50:00,11:51:34,"PPO","POO","PPO-POO","s2s","male","Perrine","male","Galloway",TRUE,FALSE,1,2021-04-05,"POO-PPO"
"14","2021-04-05_Annemarie",2021-04-05 11:50:00,11:51:39,"GOO","OOP","GOO-OOP","s2s","male","Florida City","female","Goulds",TRUE,TRUE,1,2021-04-05,"GOO-OOP"
"15","2021-04-05_Annemarie",2021-04-05 11:50:00,11:51:50,"POP","GOO","POP-GOO","NN","female","Perrine","male","Florida City",TRUE,TRUE,1,2021-04-05,"GOO-POP"
"16","2021-04-05_Cesar",2021-04-05 11:50:00,11:54:07,"POO","PPO","POO-PPO","NN","male","Galloway","male","Perrine",TRUE,FALSE,1,2021-04-05,"POO-PPO"
"17","2021-04-05_Cesar",2021-04-05 11:50:00,11:54:07,"PPO","POO","PPO-POO","NN","male","Perrine","male","Galloway",TRUE,FALSE,1,2021-04-05,"POO-PPO"
"18","2021-04-05_Annemarie",2021-04-05 11:55:00,11:55:36,"GGO","GPG","GGO-GPG","NN","female","Goulds","male","Goulds",FALSE,TRUE,1,2021-04-05,"GGO-GPG"
"19","2021-04-05_Annemarie",2021-04-05 11:55:00,11:55:36,"GPG","GGO","GPG-GGO","NN","male","Goulds","female","Goulds",FALSE,TRUE,1,2021-04-05,"GGO-GPG"
"20","2021-04-05_Annemarie",2021-04-05 11:55:00,11:58:17,"OBG","OOO","OBG-OOO","NN","female","Florida City","male","Perrine",TRUE,TRUE,1,2021-04-05,"OBG-OOO"
"21","2021-04-05_Annemarie",2021-04-05 11:55:00,11:58:17,"OOO","OBG","OOO-OBG","NN","male","Perrine","female","Florida City",TRUE,TRUE,1,2021-04-05,"OBG-OOO"
"22","2021-04-05_Cesar",2021-04-05 11:55:00,11:58:21,"OBG","OOO","OBG-OOO","NN","female","Florida City","male","Perrine",TRUE,TRUE,1,2021-04-05,"OBG-OOO"
"23","2021-04-05_Cesar",2021-04-05 11:55:00,11:58:21,"OOO","OBG","OOO-OBG","NN","male","Perrine","female","Florida City",TRUE,TRUE,1,2021-04-05,"OBG-OOO"
"24","2021-04-05_Annemarie",2021-04-05 12:00:00,12:00:46,"BBB","GOP","BBB-GOP","NN","male","Galloway","male","Florida City",TRUE,FALSE,1,2021-04-05,"BBB-GOP"
"25","2021-04-05_Annemarie",2021-04-05 12:00:00,12:00:46,"GOP","BBB","GOP-BBB","NN","male","Florida City","male","Galloway",TRUE,FALSE,1,2021-04-05,"BBB-GOP"
"26","2021-04-05_Cesar",2021-04-05 12:00:00,12:01:28,"PPO","OBG","PPO-OBG","NN","male","Perrine","female","Florida City",TRUE,TRUE,1,2021-04-05,"OBG-PPO"
"27","2021-04-05_Cesar",2021-04-05 12:00:00,12:01:36,"OBG","PGG","OBG-PGG","NN","female","Florida City","male","Perrine",TRUE,TRUE,1,2021-04-05,"OBG-PGG"
"28","2021-04-05_Cesar",2021-04-05 12:00:00,12:01:48,"OOO","PGG","OOO-PGG","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"29","2021-04-05_Cesar",2021-04-05 12:00:00,12:01:48,"PGG","OOO","PGG-OOO","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"30","2021-04-05_Annemarie",2021-04-05 12:00:00,12:01:58,"OOO","PGG","OOO-PGG","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"31","2021-04-05_Annemarie",2021-04-05 12:00:00,12:01:58,"PGG","OOO","PGG-OOO","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"32","2021-04-05_Annemarie",2021-04-05 12:00:00,12:02:26,"PGG","PPO","PGG-PPO","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"PGG-PPO"
"33","2021-04-05_Cesar",2021-04-05 12:00:00,12:02:31,"PGG","OOO","PGG-OOO","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"34","2021-04-05_Annemarie",2021-04-05 12:00:00,12:02:38,"PGG","OOO","PGG-OOO","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"35","2021-04-05_Cesar",2021-04-05 12:00:00,12:02:43,"OOO","PGG","OOO-PGG","beak_touch","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"36","2021-04-05_Claire",2021-04-05 12:00:00,12:02:43,"PGG","OOO","PGG-OOO","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"37","2021-04-05_Cesar",2021-04-05 12:00:00,12:04:28,"BBP","BOB","BBP-BOB","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
