"","dyadID","actor","subject","undir.dyad","new.dyad","opp.sex"
"1","BBB-BBP","BBB","BBP","BBB-BBP",TRUE,FALSE
"2","BBB-BOB","BBB","BOB","BBB-BOB",TRUE,FALSE
"3","BBB-GGG","BBB","GGG","BBB-GGG",TRUE,TRUE
"4","BBB-GGO","BBB","GGO","BBB-GGO",TRUE,TRUE
"5","BBB-GOO","BBB","GOO","BBB-GOO",TRUE,FALSE
"6","BBB-GOP","BBB","GOP","BBB-GOP",TRUE,FALSE
"7","BBB-GPG","BBB","GPG","BBB-GPG",TRUE,FALSE
"8","BBB-OBB","BBB","OBB","BBB-OBB",TRUE,FALSE
"9","BBB-OBG","BBB","OBG","BBB-OBG",TRUE,TRUE
"10","BBB-OGO","BBB","OGO","BBB-OGO",TRUE,FALSE
"11","BBB-OOO","BBB","OOO","BBB-OOO",TRUE,FALSE
"12","BBB-OOP","BBB","OOP","BBB-OOP",TRUE,TRUE
"13","BBB-OPP","BBB","OPP","BBB-OPP",FALSE,FALSE
"14","BBB-PBB","BBB","PBB","BBB-PBB",TRUE,TRUE
"15","BBB-PBO","BBB","PBO","BBB-PBO",TRUE,TRUE
"16","BBB-PGG","BBB","PGG","BBB-PGG",TRUE,FALSE
"17","BBB-POO","BBB","POO","BBB-POO",FALSE,FALSE
"18","BBB-POP","BBB","POP","BBB-POP",TRUE,TRUE
"19","BBB-PPB","BBB","PPB","BBB-PPB",FALSE,TRUE
"20","BBB-PPO","BBB","PPO","BBB-PPO",TRUE,FALSE
"21","BBB-PPP","BBB","PPP","BBB-PPP",TRUE,FALSE
"22","BBP-BBB","BBP","BBB","BBB-BBP",TRUE,FALSE
"23","BBP-BOB","BBP","BOB","BBP-BOB",FALSE,FALSE
"24","BBP-GGG","BBP","GGG","BBP-GGG",TRUE,TRUE
"25","BBP-GGO","BBP","GGO","BBP-GGO",TRUE,TRUE
"26","BBP-GOO","BBP","GOO","BBP-GOO",TRUE,FALSE
"27","BBP-GOP","BBP","GOP","BBP-GOP",TRUE,FALSE
"28","BBP-GPG","BBP","GPG","BBP-GPG",TRUE,FALSE
"29","BBP-OBB","BBP","OBB","BBP-OBB",TRUE,FALSE
"30","BBP-OBG","BBP","OBG","BBP-OBG",TRUE,TRUE
"31","BBP-OGO","BBP","OGO","BBP-OGO",TRUE,FALSE
"32","BBP-OOO","BBP","OOO","BBP-OOO",FALSE,FALSE
"33","BBP-OOP","BBP","OOP","BBP-OOP",TRUE,TRUE
"34","BBP-OPP","BBP","OPP","BBP-OPP",TRUE,FALSE
"35","BBP-PBB","BBP","PBB","BBP-PBB",TRUE,TRUE
"36","BBP-PBO","BBP","PBO","BBP-PBO",TRUE,TRUE
"37","BBP-PGG","BBP","PGG","BBP-PGG",FALSE,FALSE
"38","BBP-POO","BBP","POO","BBP-POO",TRUE,FALSE
"39","BBP-POP","BBP","POP","BBP-POP",FALSE,TRUE
"40","BBP-PPB","BBP","PPB","BBP-PPB",TRUE,TRUE
"41","BBP-PPO","BBP","PPO","BBP-PPO",FALSE,FALSE
